k_ring/k_leg,m0/m_out,gamma,ic_type,t_relax_q,t_relax_full,t_effective_q_rms,omega_min,E_initial,status
3.00,0.30,0.0010,ring_mode,N/A,N/A,N/A,1.890,0.0291,NOT_RELAXED
3.00,0.30,0.0100,symmetric_push,N/A,N/A,N/A,1.890,0.0770,NOT_RELAXED
3.00,0.30,0.0100,doublet,N/A,N/A,N/A,1.890,0.2564,NOT_RELAXED
3.00,0.30,0.0100,ring_mode,N/A,404.40,N/A,1.890,0.0291,RELAXED
3.00,0.30,0.1000,symmetric_push,N/A,N/A,N/A,1.890,0.0770,NOT_RELAXED
3.00,0.30,0.1000,doublet,N/A,N/A,N/A,1.890,0.2564,NOT_RELAXED
3.00,0.30,0.1000,ring_mode,N/A,39.90,N/A,1.890,0.0291,RELAXED
3.00,1.00,0.0000,symmetric_push,N/A,N/A,N/A,1.303,0.0770,CONSERVATIVE
3.00,1.00,0.0000,doublet,N/A,N/A,N/A,1.303,0.2564,CONSERVATIVE
3.00,1.00,0.0000,ring_mode,N/A,N/A,24.10,1.303,0.0291,CONSERVATIVE
3.00,1.00,0.0010,symmetric_push,N/A,N/A,N/A,1.303,0.0770,NOT_RELAXED
3.00,1.00,0.0010,doublet,N/A,N/A,N/A,1.303,0.2564,NOT_RELAXED
3.00,1.00,0.0010,ring_mode,N/A,N/A,N/A,1.303,0.0291,NOT_RELAXED
3.00,1.00,0.0100,symmetric_push,202.20,N/A,N/A,1.303,0.0770,NOT_RELAXED
3.00,1.00,0.0100,doublet,N/A,N/A,N/A,1.303,0.2564,NOT_RELAXED
3.00,1.00,0.0100,ring_mode,N/A,404.40,N/A,1.303,0.0291,RELAXED
3.00,1.00,0.1000,symmetric_push,N/A,N/A,N/A,1.303,0.0770,NOT_RELAXED
3.00,1.00,0.1000,doublet,N/A,N/A,N/A,1.303,0.2564,NOT_RELAXED
3.00,1.00,0.1000,ring_mode,N/A,39.90,N/A,1.303,0.0291,RELAXED
3.00,3.00,0.0000,symmetric_push,N/A,N/A,N/A,0.937,0.0770,CONSERVATIVE
3.00,3.00,0.0000,doublet,N/A,N/A,N/A,0.937,0.2564,CONSERVATIVE
3.00,3.00,0.0000,ring_mode,N/A,N/A,33.50,0.937,0.0291,CONSERVATIVE
3.00,3.00,0.0010,symmetric_push,N/A,N/A,N/A,0.937,0.0770,NOT_RELAXED
3.00,3.00,0.0010,doublet,89.90,N/A,N/A,0.937,0.2564,NOT_RELAXED
3.00,3.00,0.0010,ring_mode,N/A,N/A,N/A,0.937,0.0291,NOT_RELAXED
3.00,3.00,0.0100,symmetric_push,98.70,N/A,N/A,0.937,0.0770,NOT_RELAXED
3.00,3.00,0.0100,doublet,13.70,N/A,N/A,0.937,0.2564,NOT_RELAXED
3.00,3.00,0.0100,ring_mode,N/A,404.40,N/A,0.937,0.0291,RELAXED
3.00,3.00,0.1000,symmetric_push,16.70,N/A,N/A,0.937,0.0770,NOT_RELAXED
3.00,3.00,0.1000,doublet,N/A,N/A,N/A,0.937,0.2564,NOT_RELAXED
3.00,3.00,0.1000,ring_mode,N/A,39.90,N/A,0.937,0.0291,RELAXED
10.00,0.30,0.0000,symmetric_push,N/A,N/A,N/A,2.287,0.0770,CONSERVATIVE
10.00,0.30,0.0000,doublet,N/A,N/A,N/A,2.287,0.7496,CONSERVATIVE
10.00,0.30,0.0000,ring_mode,N/A,N/A,13.70,2.287,0.0901,CONSERVATIVE
10.00,0.30,0.0010,symmetric_push,N/A,N/A,N/A,2.287,0.0770,NOT_RELAXED
10.00,0.30,0.0010,doublet,N/A,N/A,N/A,2.287,0.7496,NOT_RELAXED
10.00,0.30,0.0010,ring_mode,N/A,N/A,N/A,2.287,0.0901,NOT_RELAXED
10.00,0.30,0.0100,symmetric_push,N/A,N/A,N/A,2.287,0.0770,NOT_RELAXED
10.00,0.30,0.0100,doublet,N/A,N/A,N/A,2.287,0.7496,NOT_RELAXED
10.00,0.30,0.0100,ring_mode,N/A,399.60,N/A,2.287,0.0901,RELAXED
10.00,0.30,0.1000,symmetric_push,N/A,N/A,N/A,2.287,0.0770,NOT_RELAXED
10.00,0.30,0.1000,doublet,N/A,N/A,N/A,2.287,0.7496,NOT_RELAXED
10.00,0.30,0.1000,ring_mode,N/A,40.20,N/A,2.287,0.0901,RELAXED
10.00,1.00,0.0000,symmetric_push,N/A,N/A,N/A,1.388,0.0770,CONSERVATIVE
10.00,1.00,0.0000,doublet,N/A,N/A,N/A,1.388,0.7496,CONSERVATIVE
10.00,1.00,0.0000,ring_mode,N/A,N/A,22.60,1.388,0.0901,CONSERVATIVE
10.00,1.00,0.0010,symmetric_push,N/A,N/A,N/A,1.388,0.0770,NOT_RELAXED
10.00,1.00,0.0010,doublet,40.20,N/A,N/A,1.388,0.7496,NOT_RELAXED
10.00,1.00,0.0010,ring_mode,N/A,N/A,N/A,1.388,0.0901,NOT_RELAXED
10.00,1.00,0.0100,symmetric_push,217.10,217.10,N/A,1.388,0.0770,RELAXED
10.00,1.00,0.0100,doublet,12.90,N/A,N/A,1.388,0.7496,NOT_RELAXED
10.00,1.00,0.0100,ring_mode,N/A,399.60,N/A,1.388,0.0901,RELAXED
10.00,1.00,0.1000,symmetric_push,N/A,N/A,N/A,1.388,0.0770,NOT_RELAXED
10.00,1.00,0.1000,doublet,N/A,N/A,N/A,1.388,0.7496,NOT_RELAXED
10.00,1.00,0.1000,ring_mode,N/A,40.20,N/A,1.388,0.0901,RELAXED
10.00,3.00,0.0000,symmetric_push,N/A,N/A,N/A,0.983,0.0770,CONSERVATIVE
10.00,3.00,0.0000,doublet,N/A,N/A,N/A,0.983,0.7496,CONSERVATIVE
10.00,3.00,0.0000,ring_mode,N/A,N/A,31.90,0.983,0.0901,CONSERVATIVE
10.00,3.00,0.0010,symmetric_push,N/A,N/A,N/A,0.983,0.0770,NOT_RELAXED
10.00,3.00,0.0010,doublet,5.80,N/A,N/A,0.983,0.7496,NOT_RELAXED
10.00,3.00,0.0010,ring_mode,N/A,N/A,N/A,0.983,0.0901,NOT_RELAXED
10.00,3.00,0.0100,symmetric_push,126.60,N/A,N/A,0.983,0.0770,NOT_RELAXED
10.00,3.00,0.0100,doublet,5.90,N/A,N/A,0.983,0.7496,NOT_RELAXED
10.00,3.00,0.0100,ring_mode,N/A,399.60,N/A,0.983,0.0901,RELAXED
10.00,3.00,0.1000,symmetric_push,15.80,N/A,N/A,0.983,0.0770,NOT_RELAXED
10.00,3.00,0.1000,doublet,N/A,N/A,N/A,0.983,0.7496,NOT_RELAXED
10.00,3.00,0.1000,ring_mode,N/A,40.20,N/A,0.983,0.0901,RELAXED
