# Mode: w_R
# Eigenvalue: 352.08868667912196
# Normalization: 1.0000000000000002
# Nodes: 0
# Normalizable: True
chi_GeV_inv,profile,profile_squared
-2.4944400000e+00,3.2117378839e-01,1.0315260235e-01
-2.4837800000e+00,3.2208071224e-01,1.0373598520e-01
-2.4731200000e+00,3.2298447675e-01,1.0431897222e-01
-2.4624600000e+00,3.2388507305e-01,1.0490154055e-01
-2.4518000000e+00,3.2478249231e-01,1.0548366731e-01
-2.4411400000e+00,3.2567672573e-01,1.0606532968e-01
-2.4304800000e+00,3.2656776453e-01,1.0664650483e-01
-2.4198200000e+00,3.2745559997e-01,1.0722716995e-01
-2.4091600000e+00,3.2834022334e-01,1.0780730227e-01
-2.3985000000e+00,3.2922162598e-01,1.0838687901e-01
-2.3878400000e+00,3.3009979922e-01,1.0896587744e-01
-2.3771800000e+00,3.3097473446e-01,1.0954427485e-01
-2.3665200000e+00,3.3184642312e-01,1.1012204853e-01
-2.3558600000e+00,3.3271485663e-01,1.1069917583e-01
-2.3452000000e+00,3.3358002650e-01,1.1127563408e-01
-2.3345400000e+00,3.3444192422e-01,1.1185140068e-01
-2.3238800000e+00,3.3530054135e-01,1.1242645303e-01
-2.3132200000e+00,3.3615586946e-01,1.1300076857e-01
-2.3025600000e+00,3.3700790016e-01,1.1357432477e-01
-2.2919000000e+00,3.3785662510e-01,1.1414709912e-01
-2.2812400000e+00,3.3870203594e-01,1.1471906915e-01
-2.2705800000e+00,3.3954412440e-01,1.1529021242e-01
-2.2599200000e+00,3.4038288222e-01,1.1586050651e-01
-2.2492600000e+00,3.4121830117e-01,1.1642992905e-01
-2.2386000000e+00,3.4205037305e-01,1.1699845770e-01
-2.2279400000e+00,3.4287908970e-01,1.1756607015e-01
-2.2172800000e+00,3.4370444299e-01,1.1813274413e-01
-2.2066200000e+00,3.4452642483e-01,1.1869845741e-01
-2.1959600000e+00,3.4534502716e-01,1.1926318778e-01
-2.1853000000e+00,3.4616024193e-01,1.1982691310e-01
-2.1746400000e+00,3.4697206117e-01,1.2038961123e-01
-2.1639800000e+00,3.4778047690e-01,1.2095126011e-01
-2.1533200000e+00,3.4858548119e-01,1.2151183770e-01
-2.1426600000e+00,3.4938706616e-01,1.2207132200e-01
-2.1320000000e+00,3.5018522392e-01,1.2262969105e-01
-2.1213400000e+00,3.5097994667e-01,1.2318692296e-01
-2.1106800000e+00,3.5177122659e-01,1.2374299586e-01
-2.1000200000e+00,3.5255905593e-01,1.2429788792e-01
-2.0893600000e+00,3.5334342696e-01,1.2485157738e-01
-2.0787000000e+00,3.5412433199e-01,1.2540404251e-01
-2.0680400000e+00,3.5490176335e-01,1.2595526163e-01
-2.0573800000e+00,3.5567571343e-01,1.2650521312e-01
-2.0467200000e+00,3.5644617462e-01,1.2705387540e-01
-2.0360600000e+00,3.5721313938e-01,1.2760122694e-01
-2.0254000000e+00,3.5797660017e-01,1.2814724627e-01
-2.0147400000e+00,3.5873654951e-01,1.2869191195e-01
-2.0040800000e+00,3.5949297995e-01,1.2923520263e-01
-1.9934200000e+00,3.6024588406e-01,1.2977709698e-01
-1.9827600000e+00,3.6099525445e-01,1.3031757374e-01
-1.9721000000e+00,3.6174108379e-01,1.3085661170e-01
-1.9614400000e+00,3.6248336475e-01,1.3139418972e-01
-1.9507800000e+00,3.6322209005e-01,1.3193028670e-01
-1.9401200000e+00,3.6395725245e-01,1.3246488161e-01
-1.9294600000e+00,3.6468884473e-01,1.3299795347e-01
-1.9188000000e+00,3.6541685971e-01,1.3352948136e-01
-1.9081400000e+00,3.6614129027e-01,1.3405944444e-01
-1.8974800000e+00,3.6686212928e-01,1.3458782190e-01
-1.8868200000e+00,3.6757936968e-01,1.3511459301e-01
-1.8761600000e+00,3.6829300444e-01,1.3563973712e-01
-1.8655000000e+00,3.6900302655e-01,1.3616323360e-01
-1.8548400000e+00,3.6970942904e-01,1.3668506192e-01
-1.8441800000e+00,3.7041220500e-01,1.3720520161e-01
-1.8335200000e+00,3.7111134752e-01,1.3772363226e-01
-1.8228600000e+00,3.7180684976e-01,1.3824033353e-01
-1.8122000000e+00,3.7249870487e-01,1.3875528513e-01
-1.8015400000e+00,3.7318690609e-01,1.3926846688e-01
-1.7908800000e+00,3.7387144665e-01,1.3977985862e-01
-1.7802200000e+00,3.7455231985e-01,1.4028944031e-01
-1.7695600000e+00,3.7522951901e-01,1.4079719193e-01
-1.7589000000e+00,3.7590303747e-01,1.4130309358e-01
-1.7482400000e+00,3.7657286864e-01,1.4180712540e-01
-1.7375800000e+00,3.7723900595e-01,1.4230926761e-01
-1.7269200000e+00,3.7790144285e-01,1.4280950051e-01
-1.7162600000e+00,3.7856017286e-01,1.4330780448e-01
-1.7056000000e+00,3.7921518951e-01,1.4380415996e-01
-1.6949400000e+00,3.7986648638e-01,1.4429854747e-01
-1.6842800000e+00,3.8051405707e-01,1.4479094763e-01
-1.6736200000e+00,3.8115789524e-01,1.4528134111e-01
-1.6629600000e+00,3.8179799457e-01,1.4576970866e-01
-1.6523000000e+00,3.8243434878e-01,1.4625603113e-01
-1.6416400000e+00,3.8306695163e-01,1.4674028943e-01
-1.6309800000e+00,3.8369579691e-01,1.4722246457e-01
-1.6203200000e+00,3.8432087846e-01,1.4770253762e-01
-1.6096600000e+00,3.8494219014e-01,1.4818048975e-01
-1.5990000000e+00,3.8555972586e-01,1.4865630220e-01
-1.5883400000e+00,3.8617347956e-01,1.4912995631e-01
-1.5776800000e+00,3.8678344522e-01,1.4960143350e-01
-1.5670200000e+00,3.8738961686e-01,1.5007071525e-01
-1.5563600000e+00,3.8799198853e-01,1.5053778316e-01
-1.5457000000e+00,3.8859055432e-01,1.5100261891e-01
-1.5350400000e+00,3.8918530837e-01,1.5146520425e-01
-1.5243800000e+00,3.8977624483e-01,1.5192552104e-01
-1.5137200000e+00,3.9036335792e-01,1.5238355120e-01
-1.5030600000e+00,3.9094664186e-01,1.5283927678e-01
-1.4924000000e+00,3.9152609095e-01,1.5329267989e-01
-1.4817400000e+00,3.9210169949e-01,1.5374374274e-01
-1.4710800000e+00,3.9267346184e-01,1.5419244763e-01
-1.4604200000e+00,3.9324137240e-01,1.5463877696e-01
-1.4497600000e+00,3.9380542558e-01,1.5508271322e-01
-1.4391000000e+00,3.9436561586e-01,1.5552423898e-01
-1.4284400000e+00,3.9492193775e-01,1.5596333692e-01
-1.4177800000e+00,3.9547438578e-01,1.5639998981e-01
-1.4071200000e+00,3.9602295454e-01,1.5683418052e-01
-1.3964600000e+00,3.9656763865e-01,1.5726589202e-01
-1.3858000000e+00,3.9710843275e-01,1.5769510736e-01
-1.3751400000e+00,3.9764533156e-01,1.5812180971e-01
-1.3644800000e+00,3.9817832980e-01,1.5854598232e-01
-1.3538200000e+00,3.9870742224e-01,1.5896760855e-01
-1.3431600000e+00,3.9923260369e-01,1.5938667185e-01
-1.3325000000e+00,3.9975386901e-01,1.5980315579e-01
-1.3218400000e+00,4.0027121307e-01,1.6021704402e-01
-1.3111800000e+00,4.0078463081e-01,1.6062832030e-01
-1.3005200000e+00,4.0129411719e-01,1.6103696849e-01
-1.2898600000e+00,4.0179966721e-01,1.6144297257e-01
-1.2792000000e+00,4.0230127591e-01,1.6184631660e-01
-1.2685400000e+00,4.0279893837e-01,1.6224698475e-01
-1.2578800000e+00,4.0329264970e-01,1.6264496131e-01
-1.2472200000e+00,4.0378240508e-01,1.6304023065e-01
-1.2365600000e+00,4.0426819969e-01,1.6343277728e-01
-1.2259000000e+00,4.0475002876e-01,1.6382258578e-01
-1.2152400000e+00,4.0522788758e-01,1.6420964087e-01
-1.2045800000e+00,4.0570177144e-01,1.6459392735e-01
-1.1939200000e+00,4.0617167572e-01,1.6497543015e-01
-1.1832600000e+00,4.0663759578e-01,1.6535413430e-01
-1.1726000000e+00,4.0709952708e-01,1.6573002495e-01
-1.1619400000e+00,4.0755746506e-01,1.6610308733e-01
-1.1512800000e+00,4.0801140525e-01,1.6647330682e-01
-1.1406200000e+00,4.0846134319e-01,1.6684066888e-01
-1.1299600000e+00,4.0890727446e-01,1.6720515911e-01
-1.1193000000e+00,4.0934919470e-01,1.6756676320e-01
-1.1086400000e+00,4.0978709956e-01,1.6792546697e-01
-1.0979800000e+00,4.1022098475e-01,1.6828125633e-01
-1.0873200000e+00,4.1065084602e-01,1.6863411734e-01
-1.0766600000e+00,4.1107667915e-01,1.6898403614e-01
-1.0660000000e+00,4.1149847996e-01,1.6933099901e-01
-1.0553400000e+00,4.1191624431e-01,1.6967499233e-01
-1.0446800000e+00,4.1232996811e-01,1.7001600260e-01
-1.0340200000e+00,4.1273964729e-01,1.7035401645e-01
-1.0233600000e+00,4.1314527785e-01,1.7068902061e-01
-1.0127000000e+00,4.1354685579e-01,1.7102100194e-01
-1.0020400000e+00,4.1394437719e-01,1.7134994741e-01
-9.9138000000e-01,4.1433783814e-01,1.7167584411e-01
-9.8072000000e-01,4.1472723478e-01,1.7199867927e-01
-9.7006000000e-01,4.1511256329e-01,1.7231844020e-01
-9.5940000000e-01,4.1549381990e-01,1.7263511437e-01
-9.4874000000e-01,4.1587100086e-01,1.7294868935e-01
-9.3808000000e-01,4.1624410247e-01,1.7325915284e-01
