LR_separation_delta,fermion_width_delta,converged,normalizable,M_eff,I_4,epsilon,X_EDC,X_ratio,log_ratio,gate1_pass,gate2_pass,gate3_pass,all_gates_pass,fail_codes,error
1.0,0.4,True,True,2.4321417179473412,0.106673476394923,0.4400140184137427,1.6274442287839662e-10,53.53434963105152,1.7286325309608845,False,True,True,False,FAIL_I4_TOO_LARGE,
1.0,0.3,True,True,2.4321417179469056,0.1086540985805182,0.3818709638120443,1.6576612260577622e-10,54.52832980453165,1.7366221955084924,False,True,True,False,FAIL_I4_TOO_LARGE,
1.0,0.2,True,True,2.4321417179465836,0.11016686643445116,0.31230585403844324,1.68074048996313e-10,55.28751611720822,1.7426270789815683,False,True,True,False,FAIL_I4_TOO_LARGE,
1.0,0.1,True,True,2.4321417179476224,0.11196676987627968,0.22207998101315782,1.7082003850337083e-10,56.19080213926672,1.7496652318131902,False,True,True,False,FAIL_I4_TOO_LARGE,
1.0,0.05,True,True,2.432141717946827,0.14283975027549392,0.17790893355548013,2.1792083194727271e-10,71.68448419318182,1.8554251646150355,False,True,True,False,FAIL_I4_TOO_LARGE,
1.0,0.02,False,False,nan,nan,nan,nan,nan,nan,False,False,False,False,,w_R not normalizable. 
1.5,1.0,True,True,2.432141717946702,0.08220473762517065,0.6757791974980977,1.2541414262301262e-10,41.25465217862257,1.615472929893989,False,True,True,False,FAIL_I4_TOO_LARGE,
1.5,0.8,True,True,2.432141717946301,0.08634123426182863,0.61094173979934,1.3172491246596824e-10,43.33056331117376,1.6367943350381629,False,True,True,False,FAIL_I4_TOO_LARGE,
1.5,0.6,True,True,2.432141717947031,0.08997409712096822,0.5335408048528149,1.3726732271994675e-10,45.153724578929854,1.6546935796187627,False,True,True,False,FAIL_I4_TOO_LARGE,
1.5,0.4,True,True,2.4321417179473674,0.09271482748061773,0.43825002833728216,1.414486674713926e-10,46.529166931379145,1.6677252768972495,False,True,True,False,FAIL_I4_TOO_LARGE,
1.5,0.3,True,True,2.4321417179473515,0.09365108636704542,0.38033573447777436,1.428770535827868e-10,46.99903078381144,1.6720889019871514,False,True,True,False,FAIL_I4_TOO_LARGE,
1.5,0.2,True,True,2.432141717947126,0.09428808619260746,0.31105555223676756,1.438488806244385e-10,47.318710731723186,1.6750329031214424,False,True,True,False,FAIL_I4_TOO_LARGE,
1.5,0.1,True,True,2.4321417179464473,0.0950494620939294,0.22083002845134866,1.4501045973342032e-10,47.70080912283563,1.678525745803267,False,True,True,False,FAIL_I4_TOO_LARGE,
1.5,0.05,True,True,2.432141717947505,0.10993417937887844,0.16834160234690296,1.677190542791272e-10,55.17074153918659,1.7417088212644747,False,True,True,False,FAIL_I4_TOO_LARGE,
1.5,0.02,True,True,2.432141717946442,2.883752144263441e-14,5.633372719441508e-08,4.3995433007672744e-23,1.4472181910418667e-11,-10.839465987179578,False,True,True,False,FAIL_I4_TOO_SMALL,
2.0,1.0,True,True,2.4321417179465383,0.072683218042951,0.6721281127335577,1.1088781178894352e-10,36.47625387794195,1.5620102297748524,False,True,True,False,FAIL_I4_TOO_LARGE,
2.0,0.8,True,True,2.4321417179471427,0.07481566700147534,0.607630868949928,1.141411432336041e-10,37.54642869526451,1.5745686345039518,False,True,True,False,FAIL_I4_TOO_LARGE,
2.0,0.6,True,True,2.432141717947593,0.07620950125567852,0.5306383185609289,1.1626762077000768e-10,38.24592788487095,1.582585201809258,False,True,True,False,FAIL_I4_TOO_LARGE,
2.0,0.4,True,True,2.432141717947036,0.07672147931674086,0.4358633260097188,1.1704871066128697e-10,38.50286534910756,1.5854930505215195,False,True,True,False,FAIL_I4_TOO_LARGE,
2.0,0.3,True,True,2.4321417179469265,0.07668696852766374,0.3782681781474157,1.1699605991210243e-10,38.4855460237179,1.5852976526053975,False,True,True,False,FAIL_I4_TOO_LARGE,
2.0,0.2,True,True,2.4321417179470552,0.07654254800056995,0.3093554060054342,1.167757273971295e-10,38.413068222739966,1.5844789975839983,False,True,True,False,FAIL_I4_TOO_LARGE,
