# Mode: w_L
# Eigenvalue: 0.0001782606126567822
# Normalization: 0.9999999999999998
# Nodes: 0
# Normalizable: True
chi_GeV_inv,profile,profile_squared
-3.0594200000e+00,2.4290843896e-01,5.9004509719e-02
-3.0487600000e+00,2.4889515266e-01,6.1948797017e-02
-3.0381000000e+00,2.5502098096e-01,6.5035700729e-02
-3.0274400000e+00,2.6128850842e-01,6.8271684635e-02
-3.0167800000e+00,2.6770031604e-01,7.1663459206e-02
-3.0061200000e+00,2.7425897623e-01,7.5217986043e-02
-2.9954600000e+00,2.8096704750e-01,7.8942481783e-02
-2.9848000000e+00,2.8782706856e-01,8.2844421396e-02
-2.9741400000e+00,2.9484155194e-01,8.6931540753e-02
-2.9634800000e+00,3.0201297716e-01,9.1211838374e-02
-2.9528200000e+00,3.0934378324e-01,9.5693576227e-02
-2.9421600000e+00,3.1683636069e-01,1.0038527945e-01
-2.9315000000e+00,3.2449304286e-01,1.0529573487e-01
-2.9208400000e+00,3.3231609667e-01,1.1043398810e-01
-2.9101800000e+00,3.4030771254e-01,1.1580933921e-01
-2.8995200000e+00,3.4846999377e-01,1.2143133656e-01
-2.8888600000e+00,3.5680494501e-01,1.2730976878e-01
-2.8782000000e+00,3.6531446006e-01,1.3345465473e-01
-2.8675400000e+00,3.7400030876e-01,1.3987623095e-01
-2.8568800000e+00,3.8286412310e-01,1.4658493676e-01
-2.8462200000e+00,3.9190738239e-01,1.5359139637e-01
-2.8355600000e+00,4.0113139756e-01,1.6090639811e-01
-2.8249000000e+00,4.1053729452e-01,1.6854087019e-01
-2.8142400000e+00,4.2012599653e-01,1.7650585296e-01
-2.8035800000e+00,4.2989820560e-01,1.8481246717e-01
-2.7929200000e+00,4.3985438293e-01,1.9347187818e-01
-2.7822600000e+00,4.4999472831e-01,2.0249525550e-01
-2.7716000000e+00,4.6031915850e-01,2.1189372768e-01
-2.7609400000e+00,4.7082728464e-01,2.2167833196e-01
-2.7502800000e+00,4.8151838863e-01,2.3185995859e-01
-2.7396200000e+00,4.9239139856e-01,2.4244928938e-01
-2.7289600000e+00,5.0344486317e-01,2.5345673025e-01
-2.7183000000e+00,5.1467692541e-01,2.6489233755e-01
-2.7076400000e+00,5.2608529518e-01,2.7676573781e-01
-2.6969800000e+00,5.3766722128e-01,2.8908604084e-01
-2.6863200000e+00,5.4941946259e-01,3.0186174588e-01
